How is a 'computer network' defined in the source material?,"- A collection of computers and devices interconnected by communications channels.
- Facilitates communication among users and resource sharing.
- Interlinked via physical or wireless technologies."
What is the primary role of 'communications protocols' in a network?,"- Acts as a system of rules governing how devices communicate.
- Facilitates the transmission of information across diverse technologies.
- Represents an agreement between communicating devices."
Which four types of resources are commonly shared via a computer network?,"- Hardware (e.g. printers or specialized devices).
- Files and data (e.g. databases or programs).
- Network connections and user access."
List the protocols associated with 'File Services' in a network.,"- FTP (File Transfer Protocol).
- SMB (Server Message Block).
- CIFS (Common Internet File System)."
Which protocols are identified as being part of 'Email Services'?,"- POP (Post Office Protocol).
- IMAP (Internet Message Access Protocol).
- SMTP (Simple Mail Transfer Protocol)."
Identify the two protocols listed for 'Addressing Services'.,"- DNS (Domain Name System).
- DHCP (Dynamic Host Configuration Protocol)."
Which protocols are used to facilitate 'Remote Access' or 'Terminal Services'?,"- Telnet and SSH (Secure Shell).
- RDP (Remote Desktop Protocol)."
What are the five essential components of a data communications system?,"- Message (the information to be sent).
- Sender and Receiver (the devices).
- Transmission medium and Protocol."
Component: Message,"- The information or data to be communicated.
- Can take forms such as text, numbers, or pictures.
- Includes multimedia like audio and video."
Component: Sender,"- The device that originates the data message.
- Can be a computer or workstation.
- Can be a telephone handset or video camera."
Component: Receiver,"- The device intended to receive the message.
- Can be a television or computer terminal.
- Must be capable of processing the incoming data."
Component: Transmission Medium,"- The physical path by which a message travels.
- Includes wired options like twisted-pair or coaxial cable.
- Includes wireless options like radio waves."
Concept: Protocol,"- A set of rules governing network communication.
- Without it, connected devices cannot understand each other.
- Examples include IP, HTTP, and SMTP."
What is the 'CGF2R' mnemonic for Computer Network advantages?,"- Central storage, Global business, and Faster problem solving.
- File sharing and Resource sharing.
- Enhances communication and information availability."
How does central storage on a file server benefit an organisation?,"- Files are stored on a single central node.
- Data is shared and available to every user.
- Simplifies management and data distribution."
Why is problem-solving faster in a networked environment?,"- Large procedures are disintegrated into smaller processes.
- Tasks are handled simultaneously by associated gadgets.
- Explicit issues are settled in less time."
How does a computer network improve 'Reliability' (RISHI mnemonic)?,"- Provides a mechanism for backing up information.
- If one computer crashes, data is available on another workstation.
- Ensures smooth functioning without interruption."
How do networks enhance 'Cost Efficiency'?,"- High-cost software can be stored on a single server.
- Different workstations can access and use online software.
- Reduces individual system requirements and software costs."
In what way do networks provide 'Security through Authorisation'?,"- Only authorised network users can access specific records.
- Protects confidential applications from external access.
- Discourages unauthorised cracking of data security."
What are the primary security issues of a networked computer compared to a standalone one?,"- Standalone systems require physical access for data theft.
- Networked systems are vulnerable to remote hackers.
- Requires security software to prevent theft of classified data."
Why is the rapid spread of viruses a disadvantage of networks?,"- An infection in one system poses a threat to the entire network.
- Viruses can travel through communication channels.
- Increases the risk of widespread data corruption."
Which factors contribute to the 'Expensive Set Up' of a network?,"- High cost of hardware like routers, switches, and firewalls.
- Requirement for skilled manpower for installation.
- Initial costs scale with the number of connected computers."
What is meant by a 'Lack of Robustness' in a centralised network?,"- The network relies heavily on a central file server.
- If the central server malfunctions, the entire network stops.
- Creates a single point of failure."
Network Criteria: Performance,"- Measured by transit time and response time.
- Influenced by the number of users and hardware capability.
- Evaluated using throughput and delay metrics."
Network Criteria: Reliability,"- Measured by the frequency of link failure.
- Determined by the time taken to recover from a failure.
- Includes the network's robustness during a catastrophe."
Network Criteria: Security,"- Protecting data from unauthorised access or damage.
- Implementing policies for recovery from breaches.
- Preventing data loss during system failures."
Data Flow: Simplex Mode,"- Communication is unidirectional (one-way street).
- One device only transmits, the other only receives.
- Examples: Keyboards and traditional monitors."
Data Flow: Half-duplex Mode,"- Each station can both transmit and receive.
- Communication cannot happen at the same time.
- Example: A one-lane road with traffic allowed both ways."
Data Flow: Full-duplex Mode,"- Both stations can transmit and receive simultaneously.
- The channel capacity is shared between both directions.
- Examples: Modern telephone conversations."
What is the OSI Reference Model?,"- Created by the ISO in 1994 as a framework for standards.
- Describes how data moves from one application to another.
- Segregates communication into seven distinct groups or layers."
What are the six key benefits of a layered approach to networking?,"- Reduced complexity and modular engineering.
- Improved teaching/learning and standard interfaces.
- Accelerated evolution and interoperable technology."
What is the mnemonic for the seven OSI layers?,"- 'All People Seem To Need Data Processing'.
- Layers: Application, Presentation, Session, Transport, Network, Data-link, Physical."
