What is the primary function of a 'signal' in data communications?,It is an electrical or electromagnetic current used to carry data from one device or network to another.
Name the two basic components that make up a data communication signal.,The baseband signal (information) and the carrier signal.
Define an 'analogue signal'.,A continuous signal in which one time-varying quantity represents another time-based variable.
"In the analogue signal formula $x(t) = A \sin(2\pi ft + \phi)$, what does the symbol $A$ represent?","Amplitude, which controls the strength or loudness of the signal."
Formula: Analogue signal as a function of time ($x(t)$),$x(t) = A \sin(2\pi ft + \phi)$ or $x(t) = A \sin(\omega t + \phi)$
"In signal processing, what is 'frequency' ($f$)?","The number of cycles the wave repeats per second, measured in Hertz ($Hz$)."
What determines the 'phase' of a signal in the equation $x(t) = A \sin(\omega t + \phi)$?,"The symbol $\phi$, representing the phase shift."
Term: Digital Signal,"Definition: A discrete signal whose amplitude takes only limited, distinct values (typically representing binary 0 or 1)."
How do digital signals compare to analogue signals regarding noise?,Digital signals are less susceptible to noise and more stable than analogue signals.
Compare the typical wave shapes of analogue versus digital signals.,"Analogue signals are usually sine waves, while digital signals are usually square waves or clock signals."
Which signal type is considered easier to troubleshoot: analogue or digital?,Digital signals are easier to troubleshoot.
What components are typically used in 'analogue' circuits?,"Resistors, capacitors, inductors, and diodes."
What components are typically used in 'digital' circuits?,"Transistors, logic gates, and micro-controllers."
Term: Transmission Impairment,Definition: A condition where the received signal is different from the transmitted signal due to imperfections in the medium.
List the four primary causes of transmission impairment.,"Attenuation, Distortion, Noise, and Dispersion."
What is 'dispersion' in the context of signal transmission?,"The tendency of a signal to spread and overlap as it travels through a medium, depending on the frequency used."
Term: Attenuation,Definition: The loss of signal energy/strength as it travels over distance due to the resistance of the medium.
Formula: Attenuation in decibels ($dB$),$Attenuation(dB) = 10 \log_{10}(\frac{P_2}{P_1})$
How is the problem of attenuation typically solved in long-distance communication?,By using amplifiers to boost the attenuated signal strength.
Term: Distortion,Definition: A change in the form or shape of a signal due to different frequency components travelling at different speeds.
What is a common solution for signal distortion?,The use of equalisers or wide-band channels.
Term: Noise,"Definition: Unwanted, random signals that interfere with the original transmitted signal (e.g., thermal or impulse noise)."
List three methods to reduce the effects of noise in transmission.,"Shielded cables, proper grounding, and filters/error-correction codes."
Define 'Data Rate'.,"The maximum speed at which data is transferred between two devices, measured in bits per second ($bps$)."
Identify the three factors that govern the data rate of a channel.,"Available bandwidth, number of levels in the digital signal, and the quality of the channel (noise level)."
When is the 'Nyquist Bit Rate' formula used?,To calculate the maximum data rate for a noiseless channel.
When is 'Shannon’s Capacity' formula used?,To calculate the maximum data rate for a noisy channel.
Formula: Shannon Capacity ($C$),$C = B \log_2(1 + SNR)$ (where $B$ is bandwidth and $SNR$ is Signal-to-Noise Ratio).
Term: Modulation,Definition: The process of encoding information onto a carrier signal (typically converting digital data to an analogue signal).
What device performs both modulation and demodulation?,A Modem.
Term: Demodulation,Definition: The process of extracting original data from a transmitted modulated carrier signal.
What are the three main types of 'Analogue Modulation'?,"Amplitude Modulation ($AM$), Frequency Modulation ($FM$), and Phase Modulation ($PM$)."
Concept: Amplitude Modulation ($AM$),Definition: Varying the instantaneous amplitude of the carrier signal in accordance with the message signal amplitude.
What is a primary disadvantage of Phase Modulation ($PM$)?,The circuitry required for modulation and demodulation is more complicated than for $AM$ or $FM$.
