Which layer is responsible for process-to-process delivery of an entire message?,Transport Layer
How does node-to-node delivery differ from process-to-process delivery?,"Node-to-node delivery occurs between neighbouring nodes over a link (Data Link Layer), whereas process-to-process delivery occurs between specific applications on source and destination hosts (Transport Layer)."
Which network layer is specifically responsible for host-to-host delivery of datagrams?,Network Layer
What is the specific address used by the Transport Layer to identify a process on a computer?,Port address (or Service Point Address).
What is the purpose of the sequence number in Transport Layer segmentation?,It enables the reassembling of the message in the correct order and identifies packets lost during transmission.
Which Transport Layer function handles the division of a message into smaller units and their subsequent rejoining?,Segmentation and Reassembling
"In the context of Connection Control, how are packets treated in a connectionless Transport Layer?",Each segment is considered an independent packet and is delivered to the destination without a pre-established path.
What must occur in a connection-oriented Transport Layer before packets can be delivered?,A connection must be established with the transport layer at the destination machine.
Where is flow control performed within the Transport Layer?,End to end
How does the Transport Layer perform error correction?,Through retransmission of lost or corrupted data.
What are the two primary parts of a TCP segment?,The Header Part and the Data Part.
"Which protocol provides reliable, connection-oriented service between processes on different hosts?",Transmission Control Protocol (TCP)
What type of data transfer service is offered by TCP?,Stream data transfer
"TCP provides _____ operation, allowing simultaneous data flow in both directions.",Full duplex
What is the size of the Source Port field in a TCP header?,2 bytes (16 bits)
"In a TCP header, which field specifies the number assigned to the current message?",Sequence Number (4 bytes/32 bits)
What does the Acknowledgement Number in a TCP header indicate?,The sequence number of the next byte of data expected by the receiver.
What is the size of the Acknowledgement Number field in a TCP header?,4 bytes (32 bits)
Which TCP header field indicates the number of words in the header?,Header Length (4 bits)
How many bits are allocated for the 'Reserved' field in a TCP header?,6 bits
List the six flags found in the TCP header flag field.,"URG, ACK, PSH, RST, SYN, and FIN."
TCP Flag: SYN,Purpose: Synchronise sequence numbers to initiate a connection.
TCP Flag: ACK,Purpose: Indicates that the Acknowledgement field is valid.
TCP Flag: FIN,Purpose: Terminate the connection (Final).
TCP Flag: RST,Purpose: Reset the connection.
TCP Flag: PSH,Purpose: Request for Push (send data to the application immediately).
TCP Flag: URG,Purpose: Indicates that the Urgent Pointer field is valid.
What information does the 'Window' field in the TCP header provide?,The size of the sender's receiving window (available buffer space for incoming data).
What is the bit-length of the TCP Checksum field?,16 bits
Under what condition is the TCP Urgent Pointer field valid?,Only if the URG flag bit is set to 1.
What is the maximum size of the 'Options' field in a TCP header?,32 bytes
Which TCP service involves storing data in temporary memory areas before transmission or after receipt?,Sending and Receiving Buffers
What is the primary objective of the TCP 3-way handshake?,To establish a reliable connection and synchronise sequence numbers between client and server.
Identify the three steps of the TCP 3-way handshake in order.,"1. SYN, 2. SYN-ACK, 3. ACK"
"In the first step of a 3-way handshake, what does the 'SYN' segment inform the server?",The client intends to start communication and provides its starting sequence number.
What does the 'ACK' bit in a SYN-ACK signal represent?,The acknowledgement of the received SYN segment from the client.
