What are the primary functions provided by the Application Layer according to the source material?,1. Facilitates mail services. 2. Enables network virtual terminals. 3. Provides directory and file management services.
How does the Application Layer facilitate Network Virtual Terminal services?,1. Creates software emulation of a terminal. 2. Allows logging on to remote hosts. 3. Makes the remote host believe it is talking to its own terminal.
"What does the File Transfer, Access and Management (FTAM) standard allow users to do?",1. Access files on remote computers. 2. Manage remote files. 3. Retrieve files from remote systems.
Define the role of the Simple Mail Transfer Protocol (SMTP) in electronic mail.,1. Acts as a push protocol to send mail. 2. Specifies how computers exchange electronic mail. 3. Operates using Port 25.
Contrast the roles of SMTP with POP and IMAP in email communication.,"1. SMTP sends or pushes mail. 2. POP/IMAP retrieve or pull mail. 3. SMTP is used between servers, while retrieval protocols are used at the receiver end."
Where is SMTP specifically used during the mail delivery process?,1. Between the sender and the sender's mail server. 2. Between the two mail servers. 3. Defining commands and responses for mail transfer.
What are the two main components of the basic SMTP architecture?,1. User Agents (UA) for message preparation. 2. Mail Transfer Agents (MTA) for actual transfer. 3. System requires both client and server MTAs to send/receive.
What is the function of the User Agent (UA) in an email system?,1. Prepares the email message. 2. Encloses the message in an envelope. 3. Acts as the interface between the user and the mail system.
How does a Mail Transfer Agent (MTA) handle mail delivery if the receiver is unavailable?,1. Maintains a small queue of mails. 2. Schedules repeat delivery attempts. 3. Eventually delivers mail to the recipient's mailbox.
What is the primary purpose of the Dynamic Host Configuration Protocol (DHCP)?,1. Automatically assigns IP addresses. 2. Configures network parameters like subnet masks. 3. Centralises network management for administrators.
How does DHCP simplify the process of moving devices between different network locations?,1. Detects device movement to new locations. 2. Assigns new valid IP addresses automatically. 3. Removes the need for manual reconfiguration by administrators.
Describe the 'DHCPDISCOVER' step in the DHCP working mechanism.,1. Initiated when a device turns on. 2. Sends a broadcast request for an IP. 3. Targets any available DHCP server on the network.
What occurs during the 'DHCPOFFER' phase of the DHCP process?,1. Server receives the discover packet. 2. Server reserves an available IP address. 3. Server offers the address to the client.
What is the purpose of the 'DHCPREQUEST' packet sent by a client?,1. Responds to a server's offer. 2. Formalises the acceptance of the IP address. 3. Verifies the configuration information offered.
What information is typically contained in a 'DHCPACK' message from the server?,1. Confirms the client has the IP address. 2. Defines the lease term duration. 3. Finalises the configuration for the device.
Under what condition does a DHCP server send a 'NACK' message?,1. Server decides the device cannot have the address. 2. Occurs if the offered IP is no longer available. 3. Forces the client to restart the discovery process.
Define the primary function of the Domain Name System (DNS).,1. Matches human-readable names to numeric IP addresses. 2. Functions as a central part of the Internet. 3. Enables humans to use memorable domain names.
Describe the role of the DNS Recursor in the webpage loading process.,1. Receives queries from client browsers. 2. Acts like a librarian searching for a book. 3. Responsible for making additional requests to satisfy the query.
What is the function of the Root nameserver in DNS resolution?,1. Acts as the first step in translation. 2. Serves as an index to specific locations. 3. Points the recursor toward TLD nameservers.
How does a Top Level Domain (TLD) nameserver assist in finding an IP address?,"1. Hosts the last portion of a hostname (e.g., .com). 2. Acts as a specific 'rack of books' in the hierarchy. 3. Directs the query to the authoritative nameserver."
Explain the significance of the Authoritative nameserver in the DNS query.,1. Represents the final stop in the query process. 2. Holds the actual record for the requested hostname. 3. Returns the specific IP address to the DNS Recursor.
Where does a DNS resolver first look before querying external servers?,1. Checks its local cache. 2. Returns the IP immediately if a recent copy exists. 3. Speeds up the resolution process for frequent requests.
